            sIP|            dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime| duration|                  eTime|sen|
 10.252.108.212|    224.0.0.252|59325| 5355| 17|         2|       100|        |2014/12/12T04:00:02.542|    0.412|2014/12/12T04:00:02.954| S1|
 10.252.108.212|    224.0.0.252|54458| 5355| 17|         2|       100|        |2014/12/12T04:00:02.542|    0.412|2014/12/12T04:00:02.954| S1|
 10.252.108.212|    224.0.0.252|51511| 5355| 17|         2|       104|        |2014/12/12T04:48:56.655|    0.411|2014/12/12T04:48:57.066| S1|
 10.252.108.212|    224.0.0.252|60921| 5355| 17|         2|       100|        |2014/12/12T04:38:19.876|    0.411|2014/12/12T04:38:20.287| S1|
 10.252.108.212|    224.0.0.252|63300| 5355| 17|         2|       100|        |2014/12/12T04:38:19.876|    0.411|2014/12/12T04:38:20.287| S1|
 10.252.108.212|    224.0.0.252|64139| 5355| 17|         2|       100|        |2014/12/12T04:38:37.148|    0.411|2014/12/12T04:38:37.559| S1|
 10.252.108.212|    224.0.0.252|63716| 5355| 17|         2|       100|        |2014/12/12T04:38:37.149|    0.410|2014/12/12T04:38:37.559| S1|
 10.252.108.212|    224.0.0.252|52301| 5355| 17|         2|       100|        |2014/12/12T04:59:43.963|    0.411|2014/12/12T04:59:44.374| S1|
 10.252.108.212|    224.0.0.252|49687| 5355| 17|         2|       100|        |2014/12/12T04:59:43.964|    0.410|2014/12/12T04:59:44.374| S1|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T04:49:28.539|  110.232|2014/12/12T04:51:18.771| S1|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         9|       702|        |2014/12/12T04:48:56.654|   46.535|2014/12/12T04:49:43.189| S1|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T04:21:18.756|  251.208|2014/12/12T04:25:29.964| S1|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         3|       234|        |2014/12/12T04:10:04.811|    1.506|2014/12/12T04:10:06.317| S1|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         9|       702|        |2014/12/12T04:38:19.875|   81.042|2014/12/12T04:39:40.917| S1|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         3|       234|        |2014/12/12T04:00:02.541|    1.504|2014/12/12T04:00:04.045| S1|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T04:36:18.764|   69.815|2014/12/12T04:37:28.579| S1|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         1|       229|        |2014/12/12T04:13:30.747|    0.000|2014/12/12T04:13:30.747| S1|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         3|       234|        |2014/12/12T04:59:43.963|    1.505|2014/12/12T04:59:45.468| S1|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T04:01:28.187|  290.563|2014/12/12T04:06:18.750| S1|
 10.252.108.212|    224.0.0.252|52301| 5355| 17|         2|       100|        |2014/12/12T04:59:43.959|    0.411|2014/12/12T04:59:44.370| S2|
 10.252.108.212|    224.0.0.252|49687| 5355| 17|         2|       100|        |2014/12/12T04:59:43.960|    0.410|2014/12/12T04:59:44.370| S2|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         3|       234|        |2014/12/12T04:59:43.959|    1.505|2014/12/12T04:59:45.464| S2|
 10.252.108.212|    224.0.0.252|65220| 5355| 17|         2|       100|        |2014/12/12T04:49:41.681|    0.410|2014/12/12T04:49:42.091| S2|
 10.252.108.212|    224.0.0.252|54456| 5355| 17|         2|       100|        |2014/12/12T04:49:41.681|    0.410|2014/12/12T04:49:42.091| S2|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         9|       702|        |2014/12/12T04:48:56.650|   46.536|2014/12/12T04:49:43.186| S2|
 10.252.108.212|    224.0.0.252|58976| 5355| 17|         2|       100|        |2014/12/12T04:39:39.411|    0.411|2014/12/12T04:39:39.822| S2|
 10.252.108.212|    224.0.0.252|62413| 5355| 17|         2|       100|        |2014/12/12T04:39:39.411|    0.411|2014/12/12T04:39:39.822| S2|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         9|       702|        |2014/12/12T04:38:19.871|   81.042|2014/12/12T04:39:40.913| S2|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T04:01:28.183|  290.563|2014/12/12T04:06:18.746| S2|
 10.252.108.212|    224.0.0.252|50542| 5355| 17|         2|       100|        |2014/12/12T04:10:04.807|    0.411|2014/12/12T04:10:05.218| S2|
 10.252.108.212|    224.0.0.252|57211| 5355| 17|         2|       100|        |2014/12/12T04:10:04.808|    0.410|2014/12/12T04:10:05.218| S2|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         3|       234|        |2014/12/12T04:10:04.807|    1.506|2014/12/12T04:10:06.313| S2|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         1|       229|        |2014/12/12T04:13:30.743|    0.000|2014/12/12T04:13:30.743| S2|
 10.252.108.212|    224.0.0.252|51511| 5355| 17|         2|       104|        |2014/12/12T04:48:56.651|    0.411|2014/12/12T04:48:57.062| S2|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T04:36:18.760|   69.815|2014/12/12T04:37:28.575| S2|
 10.252.108.212|    224.0.0.252|60921| 5355| 17|         2|       100|        |2014/12/12T04:38:19.872|    0.411|2014/12/12T04:38:20.283| S2|
 10.252.108.212|    224.0.0.252|63300| 5355| 17|         2|       100|        |2014/12/12T04:38:19.872|    0.411|2014/12/12T04:38:20.283| S2|
 10.252.108.212|    224.0.0.252|64139| 5355| 17|         2|       100|        |2014/12/12T04:38:37.144|    0.411|2014/12/12T04:38:37.555| S2|
 10.252.108.212|    224.0.0.252|63716| 5355| 17|         2|       100|        |2014/12/12T04:38:37.145|    0.410|2014/12/12T04:38:37.555| S2|
 10.252.108.212|    224.0.0.252|59325| 5355| 17|         2|       100|        |2014/12/12T04:00:02.538|    0.412|2014/12/12T04:00:02.950| S2|
 10.252.108.212|    224.0.0.252|54458| 5355| 17|         2|       100|        |2014/12/12T04:00:02.539|    0.411|2014/12/12T04:00:02.950| S2|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         3|       234|        |2014/12/12T04:00:02.537|    1.504|2014/12/12T04:00:04.041| S2|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T04:49:28.536|  110.231|2014/12/12T04:51:18.767| S2|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T04:21:18.753|  251.207|2014/12/12T04:25:29.960| S2|
 10.252.108.212|    224.0.0.252|60916| 5355| 17|         2|       100|        |2014/12/12T05:39:26.116|    0.411|2014/12/12T05:39:26.527| S1|
 10.252.108.212|    224.0.0.252|65345| 5355| 17|         2|       100|        |2014/12/12T05:39:26.115|    0.412|2014/12/12T05:39:26.527| S1|
 10.252.108.212|    224.0.0.252|53113| 5355| 17|         2|       100|        |2014/12/12T05:09:46.236|    0.412|2014/12/12T05:09:46.648| S1|
 10.252.108.212|    224.0.0.252|59126| 5355| 17|         2|       100|        |2014/12/12T05:09:46.237|    0.411|2014/12/12T05:09:46.648| S1|
 10.252.108.212|    224.0.0.252|50579| 5355| 17|         2|       100|        |2014/12/12T05:59:30.656|    0.411|2014/12/12T05:59:31.067| S1|
 10.252.108.212|    224.0.0.252|58889| 5355| 17|         2|       100|        |2014/12/12T05:59:30.656|    0.411|2014/12/12T05:59:31.067| S1|
 10.252.108.212|    224.0.0.252|62579| 5355| 17|         2|       104|        |2014/12/12T05:48:56.681|    0.409|2014/12/12T05:48:57.090| S1|
 10.252.108.212|    224.0.0.252|52759| 5355| 17|         2|       100|        |2014/12/12T05:49:28.384|    0.411|2014/12/12T05:49:28.795| S1|
 10.252.108.212|    224.0.0.252|61509| 5355| 17|         2|       100|        |2014/12/12T05:49:28.385|    0.410|2014/12/12T05:49:28.795| S1|
 10.252.108.212|    224.0.0.252|62512| 5355| 17|         2|       100|        |2014/12/12T05:19:48.509|    0.410|2014/12/12T05:19:48.919| S1|
 10.252.108.212|    224.0.0.252|54517| 5355| 17|         2|       100|        |2014/12/12T05:19:48.509|    0.410|2014/12/12T05:19:48.919| S1|
 10.252.108.212|    224.0.0.252|54874| 5355| 17|         2|       100|        |2014/12/12T05:38:06.568|    0.411|2014/12/12T05:38:06.979| S1|
 10.252.108.212|    224.0.0.252|61843| 5355| 17|         2|       100|        |2014/12/12T05:38:06.568|    0.411|2014/12/12T05:38:06.979| S1|
 10.252.108.212|    224.0.0.252|60569| 5355| 17|         2|       100|        |2014/12/12T05:38:23.847|    0.412|2014/12/12T05:38:24.259| S1|
 10.252.108.212|    224.0.0.252|56365| 5355| 17|         2|       100|        |2014/12/12T05:38:23.848|    0.411|2014/12/12T05:38:24.259| S1|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T05:21:18.784|  250.686|2014/12/12T05:25:29.470| S1|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         9|       702|        |2014/12/12T05:38:06.567|   81.050|2014/12/12T05:39:27.617| S1|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         3|       234|        |2014/12/12T05:09:46.236|    1.504|2014/12/12T05:09:47.740| S1|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         3|       234|        |2014/12/12T05:59:30.655|    1.507|2014/12/12T05:59:32.162| S1|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         6|       468|        |2014/12/12T05:48:56.680|   33.208|2014/12/12T05:49:29.888| S1|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T05:01:29.861|  288.917|2014/12/12T05:06:18.778| S1|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         1|       229|        |2014/12/12T05:13:31.888|    0.000|2014/12/12T05:13:31.888| S1|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T05:49:32.349|  106.449|2014/12/12T05:51:18.798| S1|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         3|       234|        |2014/12/12T05:19:48.509|    1.499|2014/12/12T05:19:50.008| S1|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T05:36:18.792|   73.432|2014/12/12T05:37:32.224| S1|
 10.252.108.212|    224.0.0.252|53113| 5355| 17|         2|       100|        |2014/12/12T05:09:46.232|    0.412|2014/12/12T05:09:46.644| S2|
 10.252.108.212|    224.0.0.252|59126| 5355| 17|         2|       100|        |2014/12/12T05:09:46.233|    0.411|2014/12/12T05:09:46.644| S2|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         3|       234|        |2014/12/12T05:09:46.232|    1.504|2014/12/12T05:09:47.736| S2|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T05:36:18.788|   73.433|2014/12/12T05:37:32.221| S2|
 10.252.108.212|    224.0.0.252|54874| 5355| 17|         2|       100|        |2014/12/12T05:38:06.564|    0.411|2014/12/12T05:38:06.975| S2|
 10.252.108.212|    224.0.0.252|61843| 5355| 17|         2|       100|        |2014/12/12T05:38:06.564|    0.411|2014/12/12T05:38:06.975| S2|
 10.252.108.212|    224.0.0.252|60569| 5355| 17|         2|       100|        |2014/12/12T05:38:23.843|    0.412|2014/12/12T05:38:24.255| S2|
 10.252.108.212|    224.0.0.252|56365| 5355| 17|         2|       100|        |2014/12/12T05:38:23.845|    0.410|2014/12/12T05:38:24.255| S2|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T05:01:29.857|  288.917|2014/12/12T05:06:18.774| S2|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T05:49:32.345|  106.449|2014/12/12T05:51:18.794| S2|
 10.252.108.212|    224.0.0.252|60916| 5355| 17|         2|       100|        |2014/12/12T05:39:26.112|    0.411|2014/12/12T05:39:26.523| S2|
 10.252.108.212|    224.0.0.252|65345| 5355| 17|         2|       100|        |2014/12/12T05:39:26.112|    0.411|2014/12/12T05:39:26.523| S2|
